"COMID","Code","Sample_ID","Year","Q05","Q25","Q50","Q75","Q95","Mean","Exceed_15"
23478975,"VA","VA-2023",2023,NA,NA,NA,NA,NA,NA,NA
23478975,"VA","VA-2024",2024,NA,NA,NA,NA,NA,NA,NA
23478975,"VA","VA-2021",2021,0,0.537115513296399,4.37169359581693,11.0609260088593,15.4982691941774,5.90219335008983,45
23478975,"VA","VA-2022",2022,NA,NA,NA,NA,NA,NA,NA
23478975,"VA","VA-2001",2001,0,0.468366437604348,4.84915684127189,11.8565199746935,15.3268930449347,6.19300906921139,24
23478975,"VA","VA-2002",2002,0,0.624832348251917,4.29345501891591,10.4327837302296,14.7582741388402,5.7800167480377,17
23478975,"VA","VA-1999",1999,0,0.798921284159804,4.02804308233773,9.52093121768737,13.5891237224932,5.17629618399769,0
23478975,"VA","VA-2000",2000,0,0.907795435553209,5.28036713762608,10.2337200075469,14.6627076583669,5.93102000543854,16
23478975,"VA","VA-1992",1992,0,1.0117029213087,5.23961856072957,10.2940365815362,14.4560080148012,6.03392084191437,7
23478975,"VA","VA-1993",1993,0,0.566291196228626,4.40683671397883,8.7768149835093,12.0135500859937,5.0261928341185,0
23478975,"VA","VA-1994",1994,0,0.863318239219313,5.51998122858116,10.9129664346554,15.081031033055,6.21417586238694,22
23478975,"VA","VA-1995",1995,0,0.893469903502282,3.79492053127722,8.87558978777225,13.1711306162527,5.06197079629388,0
23478975,"VA","VA-1996",1996,0,1.67513879014126,3.87974037546763,8.01046368175103,13.9015303883634,5.23663003565237,0
23478975,"VA","VA-1997",1997,0,0.543627521914931,3.19668724510729,9.36436507626047,13.4054816943747,5.18103640364939,0
23478975,"VA","VA-1998",1998,0,0.588250463370791,3.89724808532602,9.14546116853536,14.8951153470206,5.53802624031793,14
23478975,"VA","VA-2011",2011,0,0.789266781746693,3.23791718647741,9.68568861836077,13.1727858414411,5.07653540919305,0
23478975,"VA","VA-2012",2012,0,0.558277346987859,4.34565259754334,10.0346718133224,14.5297193138282,5.45267128239025,3
23478975,"VA","VA-2013",2013,0,1.28647088287595,4.04430098956355,10.8015275908881,14.5613585275938,5.87607353362079,5
23478975,"VA","VA-2014",2014,0,1.13259115953347,4.19575569581084,10.2097960767002,14.614290364855,5.51602579959172,8
