"Ptagis_ID","median_elevation","stream_slope","stream_sinuosity","median_width","median_depth","width_depth_ratio"
"BEARVC",1936.81774779515,0.000887795049190746,1.69980707060862,33.5,0.852441022496024,37.2705404115788
"BIG2C",1160.88079246597,0.00587124632108061,1.26418143329275,40,1.26332896177622,34.2320797171328
"BIGC",1734.72263303443,0.00584087250247374,1.46097053766271,19,0.825513409665448,24.3361154335833
"CAMASC",1579.04928278964,0.010308804756438,1.16784997208332,23,1.10648986948232,21.4370093457944
"CAPEHC",1992.57146628954,0.00670844663641832,1.33697133128994,15,0.752904922786692,21.7038563438328
"CHAMBC",1690.62752607499,0.0100166948677777,1.45589569967497,19,0.864400997677365,22.6964502164502
"CHAMWF",1688.5991831261,0.00624027000751919,2.04180122495967,6,0.481054618533722,13.0147075240089
"ELKC",1947.52986736443,0.000753964612795285,2.02651433532233,21.5,0.637908110747466,33.3877504314203
"HERDC",1767.55774196954,0.0107363316454162,1.44259694727567,9,0.449883544071211,21.0817312945856
"LAKEC",1853.42969434581,0.00545226476307361,1.53649070632987,14,0.811955378605769,18.2044444444444
"LOONC",1636.62209782878,0.0100168522360512,1.15484153956274,20,1.1586738153316,18.7417900823983
"MARSHC",1990.6329095481,0.00385786765159821,1.56417519428663,16,0.700547919215926,24.538461872774
"RUSHC",1185.35901327416,0.0156513208833598,1.14180239109088,16,1.15567925347222,14.8212834884847
"SALREF",1703.38562802671,0.00670123008719323,1.1769412228739,28,0.885040481799078,32.2958129418162
"SALRSF",1556.89959241331,0.0070774683188289,1.64000055502594,21,1.09803884621435,20.3989609767993
"SECESR",1729.44783027367,0.00353060879858554,1.27377181715546,28,1.09681578605406,25.8666865047054
"SULFUC",1764.27047577003,0.00393963178354051,1.60411533644486,18,0.852215794864617,21.438365892901
"VALEYC",1939.43564396955,0.00570628212118055,1.22271648612919,29,0.881058966253222,33.9660761402186
