"Ptagis_ID","V_median"
"BEARVC",0.475567880214233
"BIG2C",1.58640283356486
"BIGC",0.930559092787594
"CAMASC",1.68393549961633
"CAPEHC",1.0550972012456
"CHAMBC",1.35563385362008
"CHAMWF",0.683051062142346
"ELKC",0.324053687531387
"HERDC",0.889649415519443
"LAKEC",0.984544968667353
"LOONC",1.78467866633532
"MARSHC",0.731561918674732
"RUSHC",2.05396591654793
"SALREF",1.35490935227239
"SALRSF",1.51662146478229
"SECESR",1.05037231759689
"SULFUC",0.862570338119967
"VALEYC",0.994337935904595
